Distance of Bounds (nm),Elemental Excess (atoms/nm2)
2.381099999999975,0.3567102875605669
3.9686000000000092,0.33952532287548515
6.349799999999988,0.10336769379632503
7.93719999999999,0.0431168217181608
10.318399999999997,-0.26572679173337155
11.90579999999997,-0.39116237150932087
14.287000000000006,-1.281495767861987
15.874400000000009,-2.0417727891610986
18.255599999999987,-3.1182875935852254
19.84299999999999,-4.152648357774875
22.224200000000025,-6.243197586229608
23.8116,-7.353843505592039
26.192799999999977,-9.614641814522802
27.78030000000001,-10.698973204058932
30.161400000000015,-12.720409517812191
31.74890000000002,-13.821018024814162
34.129999999999995,-15.223370210922145
35.7175,-16.018055908082754
38.098600000000005,-17.15097301966913
39.68610000000004,-17.984219996987306
42.067199999999985,-19.265786659882306
43.65469999999999,-20.454228644925617
46.0359,-20.88134758398186
47.62329999999997,-20.99574214545575
50.00449999999998,-20.52763467345792
52.38560000000001,-20.55111459094281
53.972999999999985,-20.38187796943243
56.35420000000002,-19.853757284303715
57.9417,-19.05555698543909
60.32279999999997,-17.76237074255175
61.91030000000001,-17.16649556564504
64.29140000000001,-16.427950309375703
65.87890000000002,-16.166459205784985
68.25999999999999,-15.723122039453719
69.84750000000003,-15.887323852531159
72.2287,-16.02448836307373
73.81610000000003,-16.13751741137151
76.19729999999998,-16.22296363687114
77.78469999999999,-16.18690303118807
80.1659,-16.729730902619412
81.7533,-17.313680323832823
84.13449999999997,-18.166907886606076
85.72189999999998,-18.937426136499877
88.10310000000001,-19.789591267516855
89.69049999999999,-20.0172227649446
92.07169999999999,-20.73241008915485
93.6591,-21.404102814092184
96.0403,-22.450060374459365
97.6277,-22.63566101594669
100.00890000000001,-23.63743878408276
102.39009999999999,-23.837257162359492
103.97750000000002,-24.18972088288361
106.3587,-24.936150450212736
107.94609999999997,-25.34812502790326
110.32730000000001,-25.88854586896765
111.91469999999998,-26.637579951420214
114.29590000000002,-27.177592993951773
115.88329999999999,-27.07790072049234
118.26450000000001,-26.75898609357125
119.85189999999999,-26.742824665862578
122.23310000000004,-26.113518479179618
123.82050000000001,-25.69723533633024
126.20169999999997,-25.125627752470862
127.78920000000001,-24.66238156730249
130.1703,-23.487746844924757
131.7577,-22.78504322717151
134.13889999999998,-21.074196961088354
135.72639999999996,-19.658645717006944
138.10750000000002,-17.463559098253658
139.695,-16.171920597126245
142.07609999999994,-14.127925876125104
143.66359999999997,-12.897064387258888
146.04479999999995,-11.153943824775643
147.6322,-10.005760550665384
150.0133,-8.02948936321958
152.3945,-7.149584167972236
153.98199999999997,-7.403077940453027
156.36310000000003,-6.94307076786835
157.9506,-6.122665151488038
160.3317,-6.041788839078846
161.91910000000001,-6.130957759924325
164.30029999999994,-6.289882293776837
165.8878,-5.983507396784198
168.26889999999997,-5.564618674563497
169.8564,-5.441164422526907
172.2375,-5.270051027003145
173.82502000000005,-5.3117073001528174
176.20621,-4.968491912709877
177.79363,-5.1077590510812385
180.17470999999998,-5.035051044409681
181.76223000000002,-5.079299060819781
184.14340999999996,-5.629124654012317
185.73083000000003,-5.815665913858434
188.11201,-5.915955757066461
189.69943999999998,-6.165319287495745
192.08062,-6.06407612021612
193.66804000000002,-6.54164577414991
196.04921999999996,-7.786563186903906
197.63664000000003,-7.904025928820587
200.01783,-9.05152220693527
201.60524000000004,-9.867174847118555
203.98642999999998,-10.67630507283937
206.36760999999996,-11.824393273507182
207.95503000000002,-12.66970182022951
210.33611000000002,-13.364648234617444
211.92363999999998,-13.911873502280688
214.30482,-13.939223329388255
215.89224000000002,-13.681038702507536
218.27342,-13.497403253917605
219.86085000000003,-13.169589147640268
222.24203,-12.876935287249513
223.82943999999998,-12.126208637584364
226.21063,-11.264154324407144
227.79805,-10.988607779989298
230.17922999999996,-9.984364997772166
231.76665000000003,-8.77106329021347
234.14783999999997,-6.601272878607529
235.73526000000004,-5.403903857733095
238.11644,-3.4968261778614877
239.70386000000002,-2.5303967048182843
242.08505000000002,-2.0011091248413893
243.67247000000003,-1.5354620708416464
246.05363999999997,-0.7339298518795079
247.64106999999998,-0.20618079898031885
250.02225,0.38001804835693126
251.60967,0.4335773809704916
253.99085000000002,0.8476283934536288
256.37203999999997,1.4425196895084802
257.95946,1.8004104235286091
260.34064,2.0413604610703335
