Distance of Bounds (nm),Elemental Excess (atoms/nm2)
2.381099999999975,-0.9080764266676782
3.9684999999999775,-1.4543187526022074
6.349700000000013,-2.644259838962624
7.93719999999999,-3.200038725918672
10.318299999999994,-3.8125815729004287
11.905900000000003,-4.3890438086939145
14.286900000000031,-5.385644482947714
15.874499999999983,-5.790136496875927
18.255500000000012,-6.062619821391848
19.843099999999993,-6.15154641634191
22.224199999999996,-6.419318273736167
23.811700000000002,-6.694088696951812
26.19290000000001,-7.125401255902117
27.780299999999983,-7.273520045210697
30.161500000000018,-7.035818324477457
31.74890000000002,-6.926781031813771
34.1301,-6.842127524425094
35.7175,-6.837873267579366
38.09870000000001,-6.7170017530077
39.68610000000004,-6.671805223353432
42.06729999999996,-6.616500548318394
43.65469999999999,-6.525969963102763
46.0359,-6.345040297735565
47.6233,-6.3525530407595765
50.00449999999998,-6.246127613225886
52.38560000000001,-6.00934257376866
53.97310000000002,-5.9802891422788305
56.354299999999995,-6.214831838111651
57.9417,-6.388289088497237
60.32290000000003,-6.242447128603492
61.91030000000001,-5.966286140208519
64.29150000000001,-5.905006806311154
65.87890000000002,-6.156988666014131
68.26010000000002,-6.3700148360196645
69.8475,-6.2528258999199045
72.2287,-6.0960741770814755
73.81610000000003,-5.979851059285033
76.19729999999996,-5.337870566238351
77.78469999999999,-5.087468591466604
80.1659,-4.738404040511192
81.7533,-4.549259933968577
84.13449999999997,-4.187333673032279
85.72189999999998,-4.2629660993476435
88.10310000000001,-3.6696768106314765
89.69050000000001,-3.254745683526518
92.07169999999999,-3.168494459164718
93.6591,-3.178137127212289
96.04030000000003,-3.093543382448653
97.62769999999998,-3.1321683492278276
100.00890000000001,-2.9473462185373145
102.39010000000005,-2.746178184042616
103.97749999999999,-2.5117505567529843
106.35869999999997,-2.3434068169746034
107.94610000000003,-2.0062151214983777
110.32730000000001,-1.7632696670618697
111.91469999999998,-1.468193711962656
114.29589999999999,-1.230978969611125
115.88330000000002,-1.0420564900693778
118.26449999999998,-0.5418097679577251
119.85190000000001,-0.459495108582175
122.23310000000001,-0.5645257287604454
123.82050000000002,-0.6051795159709847
126.2017,-0.7721778303400079
127.78909999999996,-0.5550681910294104
130.1703,-0.2575777019872174
131.7577,-0.07799527684659947
134.13889999999998,-0.4031101503979572
135.72629999999998,-0.5703450029193868
138.10750000000002,-0.6897653800650475
139.6949,-0.7436284527602223
142.0761,-0.9954113440213604
143.66349999999994,-1.4672857731082094
146.04470000000003,-1.7616729858137756
147.63219999999995,-1.9508046957619225
150.01330000000002,-2.0812138093443147
152.3945,-1.8999260131976246
153.9819,-2.150235001276639
156.36309999999997,-2.0469389801503652
157.95050000000003,-1.9395272946501934
160.3317,-1.8537509904388132
161.91910000000001,-1.9811349525590396
164.30030000000002,-1.8911294621815367
165.88769999999994,-1.723900326355408
168.26890000000003,-1.830527511874752
169.85629999999998,-1.9787561409870293
172.23752000000002,-1.8906331785845283
173.82493999999997,-1.8666754412123305
176.20613000000003,-1.8318249385323009
177.79363999999998,-1.8951367195035238
180.17473000000004,-2.2366359752975233
181.76214999999996,-2.1839142705137653
184.14333,-1.9804218656710837
185.73084999999998,-2.143021979307103
188.11204000000004,-2.336291488075911
189.69946,-2.3913232525078354
192.08054000000004,-2.322443780167851
193.66806000000003,-1.9721141652070482
196.04924000000003,-1.6632534558305219
197.63666999999998,-1.5057994085431194
200.01773999999995,-1.3610236756727838
201.60527,-1.3267506207657318
203.98644999999993,-1.2182418559618233
206.36753,-1.140464236334859
207.95504999999997,-0.8824835177258457
210.33614,-0.7390566348661375
211.92356,-0.9102920373451148
214.30474000000004,-1.1991612685016604
215.89226,-1.2354067724611537
218.27345000000003,-1.3533049544332254
219.86086999999998,-1.347648769044814
222.24194,-1.0441497072541732
223.82947,-1.273161525456125
226.21065,-1.4617736151836767
227.79807,-1.623838672004145
230.17925000000002,-1.6995034778755054
231.76667999999995,-1.8174489408590238
234.14786000000004,-1.733380115369726
235.73528,-1.8255137965486048
238.11646000000002,-2.1277968111335435
239.70388000000003,-2.240439415832148
242.08506999999997,-2.637696290538222
243.67248000000004,-2.6586866347321303
246.05366999999998,-2.6787606828787176
247.64109,-2.690311585383861
250.02227,-2.710732147419173
251.60969,-2.639270656922913
253.99086999999997,-2.7633589387849304
256.37206000000003,-2.7210116105487328
257.95948,-2.752560754222976
260.34065999999996,-2.811686289404042
